"ESPANOLA, NM US (USC00293031)",,,,,,,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),,,,,
1895-04-01,,56,23,0,,,,,,,
1895-04-02,,67,24,0,,,,,,Avg. (in.),0.027227651
1895-04-03,,72,29,0,,,,,,Max (in.),3
1895-04-04,,69,28,0,,,,,,Min (in.),0
1895-04-05,,36,33,0,,,,,,St. Dev (in.),0.115618101
1895-04-06,,52,20,0,,,,,,,
1895-04-07,,64,28,0,,,,,,,
1895-04-08,,69,28,0,,,,,,,
1895-04-09,,72,32,0,,,,,,,
1895-04-10,,72,28,0,,,,,,,
1895-04-11,,77,34,0,,,,,,,
1895-04-12,,77,33,0,,,,,,,
1895-04-13,,76,43,0,,,,,,,
1895-04-14,,72,46,0,,,,,,,
1895-04-15,,70,38,0,,,,,,,
1895-04-16,,71,37,0,,,,,,,
1895-04-17,,76,34,0,,,,,,,
1895-04-18,,77,34,0,,,,,,,
1895-04-19,,75,51,0,,,,,,,
1895-04-20,,74,37,0,,,,,,,
1895-04-21,,70,43,0.09,,,,,,,
1895-04-22,,56,38,0,,,,,,,
1895-04-23,,57,32,0,,,,,,,
1895-04-24,,74,32,0,,,,,,,
1895-04-25,,77,35,0,,,,,,,
1895-04-26,,75,43,0,,,,,,,
1895-04-27,,76,33,0,,,,,,,
1895-04-28,,73,39,0,,,,,,,
1895-04-29,,69,45,0,,,,,,,
1895-04-30,,61,34,0,,,,,,,
1895-05-01,,64,34,0,,,,,,,
1895-05-02,,73,35,0,,,,,,,
1895-05-03,,66,37,0,,,,,,,
1895-05-04,,68,39,0,,,,,,,
1895-05-05,,75,43,0,,,,,,,
1895-05-06,,84,43,0,,,,,,,
1895-05-07,,87,42,0,,,,,,,
1895-05-08,,90,45,0,,,,,,,
1895-05-09,,90,43,0,,,,,,,
1895-05-10,,83,53,0,,,,,,,
1895-05-11,,68,41,0,,,,,,,
1895-05-12,,76,44,0,,,,,,,
1895-05-13,,84,41,0,,,,,,,
1895-05-14,,85,41,0,,,,,,,
1895-05-15,,82,45,0,,,,,,,
1895-05-16,,70,50,0.35,,,,,,,
1895-05-17,,65,38,0,,,,,,,
1895-05-18,,76,41,0,,,,,,,
1895-05-19,,78,44,0,,,,,,,
1895-05-20,,75,49,0.35,,,,,,,
1895-05-21,,57,48,0.4,,,,,,,
1895-05-22,,54,45,0.08,,,,,,,
1895-05-23,,62,47,0.13,,,,,,,
1895-05-24,,66,45,0.05,,,,,,,
1895-05-25,,70,48,0,,,,,,,
1895-05-26,,80,48,0,,,,,,,
1895-05-27,,86,49,0,,,,,,,
1895-05-28,,82,62,0,,,,,,,
1895-05-29,,72,49,0.44,,,,,,,
1895-05-30,,52,36,0.3,,,,,,,
1895-05-31,,74,39,0,,,,,,,
1895-06-01,,79,47,0,,,,,,,
1895-06-02,,66,50,0.09,,,,,,,
1895-06-03,,68,40,0,,,,,,,
1895-06-04,,74,40,0,,,,,,,
1895-06-05,,82,43,0,,,,,,,
1895-06-06,,82,60,0,,,,,,,
1895-06-07,,85,55,0,,,,,,,
1895-06-08,,83,57,0.02,,,,,,,
1895-06-09,,82,53,0,,,,,,,
1895-06-10,,84,53,0,,,,,,,
1895-06-11,,88,46,0,,,,,,,
1895-06-12,,85,52,0,,,,,,,
1895-06-13,,80,60,0,,,,,,,
1895-06-14,,87,46,0,,,,,,,
1895-06-15,,87,49,0,,,,,,,
1895-06-16,,88,48,0,,,,,,,
1895-06-17,,85,49,0,,,,,,,
1895-06-18,,74,46,0,,,,,,,
1895-06-19,,78,40,0,,,,,,,
1895-06-20,,82,44,0,,,,,,,
1895-06-21,,85,43,0,,,,,,,
1895-06-22,,83,50,0,,,,,,,
1895-06-23,,85,49,0,,,,,,,
1895-06-24,,86,48,0,,,,,,,
1895-06-25,,90,48,0,,,,,,,
1895-06-26,,90,59,0,,,,,,,
1895-06-27,,87,59,0,,,,,,,
1895-06-28,,80,53,0.47,,,,,,,
1895-06-29,,83,55,0,,,,,,,
1895-06-30,,79,58,0,,,,,,,
1895-07-01,,84,51,0.06,,,,,,,
1895-07-02,,87,54,0,,,,,,,
1895-07-03,,85,55,0.15,,,,,,,
1895-07-04,,87,53,0,,,,,,,
1895-07-05,,92,56,0,,,,,,,
1895-07-06,,93,54,0,,,,,,,
1895-07-07,,93,52,0,,,,,,,
1895-07-08,,86,55,0.47,,,,,,,
1895-07-09,,79,56,0,,,,,,,
1895-07-10,,76,54,0.15,,,,,,,
1895-07-11,,76,52,0.14,,,,,,,
1895-07-12,,73,50,0,,,,,,,
1895-07-13,,79,51,0,,,,,,,
1895-07-14,,82,50,0,,,,,,,
1895-07-15,,90,52,0,,,,,,,
1895-07-16,,93,55,0,,,,,,,
1895-07-17,,84,53,0,,,,,,,
1895-07-18,,91,55,0,,,,,,,
1895-07-19,,90,52,0.04,,,,,,,
1895-07-20,,88,59,0,,,,,,,
1895-07-21,,83,59,0.28,,,,,,,
1895-07-22,,77,59,0.95,,,,,,,
1895-07-23,,79,59,0.31,,,,,,,
1895-07-24,,70,59,0,,,,,,,
1895-07-25,,83,60,0,,,,,,,
1895-07-26,,83,59,0,,,,,,,
1895-07-27,,87,57,0,,,,,,,
1895-07-28,,89,60,0,,,,,,,
1895-07-29,,89,63,0,,,,,,,
1895-07-30,,85,60,0.46,,,,,,,
1895-07-31,,79,58,0,,,,,,,
1895-08-01,,83,58,0,,,,,,,
1895-08-02,,85,59,0,,,,,,,
1895-08-03,,85,62,0,,,,,,,
1895-08-04,,88,60,0,,,,,,,
1895-08-05,,88,57,0,,,,,,,
1895-08-06,,84,56,0,,,,,,,
1895-08-07,,87,53,0,,,,,,,
1895-08-08,,86,57,0,,,,,,,
1895-08-09,,87,64,0,,,,,,,
1895-08-10,,90,59,0.25,,,,,,,
1895-08-11,,82,59,0,,,,,,,
1895-08-12,,86,61,0.12,,,,,,,
1895-08-13,,78,63,0,,,,,,,
1895-08-14,,83,59,0.05,,,,,,,
1895-08-15,,82,58,0,,,,,,,
1895-08-16,,82,58,0,,,,,,,
1895-08-17,,91,55,0,,,,,,,
1895-08-18,,93,55,0,,,,,,,
1895-08-19,,91,56,0,,,,,,,
1895-08-20,,89,59,0,,,,,,,
1895-08-21,,85,55,0.2,,,,,,,
1895-08-22,,84,58,0,,,,,,,
1895-08-23,,78,60,0,,,,,,,
1895-08-24,,84,53,0,,,,,,,
1895-08-25,,84,51,0,,,,,,,
1895-08-26,,87,59,0,,,,,,,
1895-08-27,,85,55,0.14,,,,,,,
1895-08-28,,84,52,0,,,,,,,
1895-08-29,,83,57,0,,,,,,,
1895-08-30,,83,56,0.08,,,,,,,
1895-08-31,,83,57,0,,,,,,,
1895-09-01,,83,56,0,,,,,,,
1895-09-02,,90,62,0,,,,,,,
1895-09-03,,84,54,0,,,,,,,
1895-09-04,,87,46,0,,,,,,,
1895-09-05,,89,47,0,,,,,,,
1895-09-06,,87,44,0,,,,,,,
1895-09-07,,85,54,0,,,,,,,
1895-09-08,,91,55,0,,,,,,,
1895-09-09,,90,54,0,,,,,,,
1895-09-10,,91,57,0,,,,,,,
1895-09-11,,90,55,0,,,,,,,
1895-09-12,,93,50,0,,,,,,,
1895-09-13,,93,56,0,,,,,,,
1895-09-14,,92,61,0,,,,,,,
1895-09-15,,92,54,0,,,,,,,
1895-09-16,,92,53,0,,,,,,,
1895-09-17,,90,53,0,,,,,,,
1895-09-18,,88,53,0,,,,,,,
1895-09-19,,80,60,0.3,,,,,,,
1895-09-20,,79,50,0,,,,,,,
1895-09-21,,81,52,0.06,,,,,,,
1895-09-22,,64,35,0,,,,,,,
1895-09-23,,69,36,0,,,,,,,
1895-09-24,,74,48,0,,,,,,,
1895-09-25,,81,42,0,,,,,,,
1895-09-26,,87,42,0,,,,,,,
1895-09-27,,79,50,0,,,,,,,
1895-09-28,,77,47,0,,,,,,,
1895-09-29,,65,41,0,,,,,,,
1895-09-30,,69,41,0,,,,,,,
1895-10-01,,76,38,0,,,,,,,
1895-10-02,,74,42,0,,,,,,,
1895-10-03,,74,44,0.52,,,,,,,
1895-10-04,,64,44,0.42,,,,,,,
1895-10-05,,60,45,0.05,,,,,,,
1895-10-06,,67,42,0,,,,,,,
1895-10-07,,70,36,0,,,,,,,
1895-10-08,,68,36,0,,,,,,,
1895-10-09,,70,37,0,,,,,,,
1895-10-10,,75,36,0,,,,,,,
1895-10-11,,75,38,0,,,,,,,
1895-10-12,,74,37,0,,,,,,,
1895-10-13,,77,36,0,,,,,,,
1895-10-14,,77,38,0,,,,,,,
1895-10-15,,73,34,0,,,,,,,
1895-10-16,,76,36,0,,,,,,,
1895-10-17,,74,38,0,,,,,,,
1895-10-18,,75,35,0,,,,,,,
1895-10-19,,67,43,0,,,,,,,
1895-10-20,,70,31,0,,,,,,,
1895-10-21,,71,37,0,,,,,,,
1895-10-22,,64,43,0.1,,,,,,,
1895-10-23,,54,32,0,,,,,,,
1895-10-24,,60,30,0,,,,,,,
1895-10-25,,64,28,0,,,,,,,
1895-10-26,,66,28,0,,,,,,,
1895-10-27,,56,28,0,,,,,,,
1895-10-28,,64,23,0,,,,,,,
1895-10-29,,62,29,0,,,,,,,
1895-10-30,,54,38,0.3,,,,,,,
1895-10-31,,53,29,0,,,,,,,
1895-11-01,,60,27,0,0,,,,,,
1895-11-02,,60,24,0,0,,,,,,
1895-11-03,,55,39,0.06,0,,,,,,
1895-11-04,,56,33,0.17,0,,,,,,
1895-11-05,,46,29,0,0,,,,,,
